student,course,score,count_learn,semester
2110001,SP1007,7,1,242
2110001,CO4337,7,1,242
2110001,CO3011,7,1,242
2110001,CO3115,7,1,242
2110001,CO3089,7,1,242
2110002,SP1007,7,1,242
2110002,CO4337,7,1,242
2110002,CO3017,7,1,242
2110002,CO3115,7,1,242
2110002,CO3011,7,1,242
2110003,SP1007,7,1,242
2110003,CO4337,7,1,242
2110003,CO3065,7,1,242
2110003,CO3013,7,1,242
2110003,CO3115,7,1,242
2110004,SP1007,7,1,242
2110004,CO4337,7,1,242
2110004,CO3015,7,1,242
2110004,CO3115,7,1,242
2110004,CO3065,7,1,242
2110005,SP1007,7,1,242
2110005,CO4337,7,1,242
2110005,CO3011,7,1,242
2110005,CO3089,7,1,242
2110005,CO3065,7,1,242
2210006,SP1039,7,1,242
2210006,CO2001,7,1,242
2210006,CO3005,7,1,242
2210006,CO3335,7,1,242
2210006,DADN,7,1,242
2210006,TCTD2,7,1,242
2210006,SP1037,7,1,242
2210006,CO4029,7,1,242
2210006,TCTD3,7,1,242
2210006,SP1007,7,1,242
2210006,CO4337,7,1,242
2210006,CO3015,7,1,242
2210006,CO3013,7,1,242
2210006,CO3017,7,1,242
2210006,CO3065,7,1,242
2210006,CO3011,7,1,242
2210007,SP1039,7,1,242
2210007,CO2001,7,1,242
2210007,CO3005,7,1,242
2210007,CO3335,7,1,242
2210007,DADN,7,1,242
2210007,TCTD2,7,1,242
2210007,SP1037,7,1,242
2210007,CO4029,7,1,242
2210007,TCTD3,7,1,242
2210007,SP1007,7,1,242
2210007,CO4337,7,1,242
2210007,CO3011,7,1,242
2210007,CO3065,7,1,242
2210007,CO3115,7,1,242
2210007,CO3089,7,1,242
2210007,CO3017,7,1,242
2210008,SP1039,7,1,242
2210008,CO2001,7,1,242
2210008,CO3005,7,1,242
2210008,CO3335,7,1,242
2210008,DADN,7,1,242
2210008,TCTD2,7,1,242
2210008,SP1037,7,1,242
2210008,CO4029,7,1,242
2210008,TCTD3,7,1,242
2210008,SP1007,7,1,242
2210008,CO4337,7,1,242
2210008,CO3017,7,1,242
2210008,CO3065,7,1,242
2210008,CO3115,7,1,242
2210008,CO3015,7,1,242
2210008,CO3011,7,1,242
2210009,SP1039,7,1,242
2210009,CO2001,7,1,242
2210009,CO3005,7,1,242
2210009,CO3335,7,1,242
2210009,DADN,7,1,242
2210009,TCTD2,7,1,242
2210009,SP1037,7,1,242
2210009,CO4029,7,1,242
2210009,TCTD3,7,1,242
2210009,SP1007,7,1,242
2210009,CO4337,7,1,242
2210009,CO3013,7,1,242
2210009,CO3011,7,1,242
2210009,CO3017,7,1,242
2210009,CO3115,7,1,242
2210009,CO3065,7,1,242
2210010,SP1039,7,1,242
2210010,CO2001,7,1,242
2210010,CO3005,7,1,242
2210010,CO3335,7,1,242
2210010,DADN,7,1,242
2210010,TCTD2,7,1,242
2210010,SP1037,7,1,242
2210010,CO4029,7,1,242
2210010,TCTD3,7,1,242
2210010,SP1007,7,1,242
2210010,CO4337,7,1,242
2210010,CO3115,7,1,242
2210010,CO3089,7,1,242
2210010,CO3011,7,1,242
2210010,CO3015,7,1,242
2210010,CO3013,7,1,242
2310011,LA1009,7,1,242
2310011,SP1033,7,1,242
2310011,CO2017,7,1,242
2310011,CO2039,7,1,242
2310011,MT2013,7,1,242
2310011,TCTD1,7,1,242
2310011,SP1035,7,1,242
2310011,CO3093,7,1,242
2310011,CO2013,7,1,242
2310011,CO3001,7,1,242
