course_code,course_name,majors, prerequisites,semester,count_learner,average_score,credit,is_group_c ,is_group_d
LA1003,Anh văn 1,1|2|3|4|5|6,,1,1,MT,2,0,0
MT1003,Giải tích 1,1|2|3|4|5|6,,1,1,9.5,4,0,0
PH1003,Vật lý 1,1|2|3|4|5|6,,1,1,8.5,4,0,0
CO1005,Nhập môn điện toán,1|2|3|4|5|6,,1,1,9.0,3,0,0
CO1023,Hệ thống số,1|2|3|4|5|6,,1,1,9.0,3,0,0
LA1005,Anh văn 2,1|2|3|4|5|6,LA1003,2,1,MT,2,0,0
MT1005,Giải tích 2,1|2|3|4|5|6,MT1003,2,1,8.7,4,0,0
MT1007,Đại số tuyến tính,1|2|3|4|5|6,,2,1,8.0,3,0,0
CO1007,Cấu trúc rời rạc cho khoa học máy tính,1|2|3|4|5|6,,2,1,8.1,4,0,0
CO1027,Kỹ thuật lập trình,1|2|3|4|5|6,,2,1,8.2,3,0,0
PH1007,Thí nghiệm vật lý,1|2|3|4|5|6,,2,1,9.3,1,0,0
LA1007,Anh văn 3,1|2|3|4|5|6,LA1005,3,1,MT,2,0,0
SP1031,Triết học Mác - Lênin,1|2|3|4|5|6,,3,1,7.8,3,0,0
CO2007,Kiến trúc máy tính,1|2|3|4|5|6,,3,1,8.0,4,0,0
CO2011,Mô hình hóa toán học,1|2|3|4|5|6,,3,1,8.2,3,0,0
CO2003,Cấu trúc dữ liệu và giải thuật,1|2|3|4|5|6,,3,1,8.2,4,0,0
LA1009,Anh văn 4,1|2|3|4|5|6,LA1007,4,1,MT,2,0,0
SP1033,Kinh tế chính trị Mác - Lênin,1|2|3|4|5|6,SP1031,4,1,6.9,2,0,0
CO2017,Hệ điều hành,1|2|3|4|5|6,,4,1,7.1,3,0,0
CO2039,Lập trình nâng cao,1|2|3|4|5|6,,4,1,9.0,3,0,0
MT2013,Xác suất và thống kê,1|2|3|4|5|6,,4,1,7.9,4,0,0
TCTD1,Tự chọn tự do,1|2|3|4|5|6,,4,0,0,3,0,0
SP1035,Chủ nghĩa xã hội khoa học,1|2|3|4|5|6,SP1033,5,1,7.7,2,0,0
CO3093,Mạng máy tính,1|2|3|4|5|6,,5,1,9.4,3,0,0
CO2013,Hệ cơ sở dữ liệu,1|2|3|4|5|6,,5,1,8.5,4,0,0
CO3001,Công nghệ phần mềm,1|2|3|4|5|6,,5,1,7.4,3,0,0
CH1003,Hóa đại cương,1|2|3|4|5|6,,5,1,7.1,3,0,0
DATH,Đồ án tổng hợp,1|2|3|4|5|6,,5,1,8.5,1,0,0
SP1039,Lịch sử Đảng Cộng sản Việt Nam,1|2|3|4|5|6,SP1035,6,1,7.2,2,0,0
CO2001,Kỹ năng chuyên nghiệp cho kỹ sư,1|2|3|4|5|6,CO1005,6,1,8.6,3,0,0
CO3005,Nguyên lý ngôn ngữ lập trình,1|2|3|4|5|6,,6,1,7.4,4,0,0
CO3335,Thực tập ngoài trường,1|2|3|4|5|6,,6,1,9.0,2,0,0
TCTD2,Tự chọn tự do,1|2|3|4|5|6,,6,0,0,3,0,0
DADN,Thực tập đồ án môn học đa ngành,1|2|3|4|5|6,,6,1,10,1,0,0
SP1037,Tư tưởng Hồ Chí Minh,1|2|3|4|5|6,SP1039,7,1,7.2,2,0,0
CO4029,Đồ án chuyên ngành,1|2|3|4|5|6,,7,1,0,2,0,0
TCTD3,Tự chọn tự do,1|2|3|4|5|6,,7,0,0,3,0,0
CO3011,Quản lý dự án phần mềm,1|5,,7,1,9.1,3,1,0
CO3013,Xây dựng chương trình dịch,1|5,,7,0,0,3,1,0
CO3015,Kiểm tra phần mềm,1|5,CO1027,7,0,0,3,1,0
CO3017,Kiến trúc phần mềm,1|5,,7,0,0,3,1,0
CO3021,Hệ quản trị cơ sở dữ liệu,1|6,,7,0,0,3,1,0
CO3023,Cơ sở dữ liệu phân tán và hướng đối tượng,1|6,,7,0,0,3,1,0
CO3027,Thương mại điện tử,1|6,,7,0,0,3,1,0
CO3029,Khai phá dữ liệu,1|3|6,,7,0,0,3,1,0
CO3031,Phân tích và thiết kế giải thuật,1,,7,0,0,3,1,0
CO3033,Bảo mật hệ thống thông tin,1|6,,7,0,0,3,1,0
CO3035,Hệ thời gian thực,1|3,,7,0,0,3,1,0
CO3037,Phát triển ứng dụng internet of things,1|3,,7,0,0,3,1,0
CO3041,Hệ thống thông minh,1|3,,7,0,0,3,1,0
CO3043,Phát triển ứng dụng trên thiết bị di động,1|2|3,,7,1,8.6,3,1,0
CO3045,Lập trình game,1|2|3,,7,0,0,3,1,0
CO3047,Mạng máy tính nâng cao,1|4,,7,0,0,3,1,0
CO3049,Lập trình web,1|2|3|4,,7,0,0,3,1,0
CO3051,Hệ thống thiết bị di động,1|2|3,,7,0,0,3,1,0
CO3057,Xử lý ảnh số và thị giác máy tính,1|2,,7,0,0,3,1,0
CO3059,Đồ họa máy tính,1|2,,7,0,0,3,1,0
CO3061,Nhập môn trí tuệ nhân tạo,1|3,,7,0,0,3,1,0
CO3065,Công nghệ phần mềm nâng cao,1|5,,7,1,8.4,3,1,0
CO3067,Tính toán song song,1,,7,0,0,3,1,0
CO3069,Mật mã và an ninh mạng,1|4,,7,0,0,3,1,0
CO3071,Hệ phân bố,1,,7,0,0,3,1,0
CO3083,Mật mã học và mã hóa thông tin,1|4,,7,0,0,3,1,0
