student,course,score,count_learn,semester
2410001,LA1003,9.8,1,241
2410001,MT1003,8.5,1,241
2410001,PH1003,9.0,1,241
2410001,CO1005,9.9,1,241
2410001,CO1023,7.6,1,241
2410002,LA1003,9.0,1,241
2410002,MT1003,9.4,1,241
2410002,PH1003,8.9,1,241
2410002,CO1005,8.5,1,241
2410002,CO1023,7.7,1,241
2410003,LA1003,9.5,1,241
2410003,MT1003,8.7,1,241
2410003,PH1003,8.0,1,241
2410003,CO1005,8.4,1,241
2410003,CO1023,8.3,1,241
2410004,LA1003,9.3,1,241
2410004,MT1003,7.9,1,241
2410004,PH1003,7.7,1,241
2410004,CO1005,8.4,1,241
2410004,CO1023,8.7,1,241
2410005,LA1003,9.8,1,241
2410005,MT1003,7.4,1,241
2410005,PH1003,7.9,1,241
2410005,CO1005,9.2,1,241
2410005,CO1023,8.5,1,241
2410006,LA1003,9.6,1,241
2410006,MT1003,9.5,1,241
2410006,PH1003,7.7,1,241
2410006,CO1005,10.0,1,241
2410006,CO1023,8.7,1,241
2410007,LA1003,9.8,1,241
2410007,MT1003,9.4,1,241
2410007,PH1003,8.3,1,241
2410007,CO1005,9.2,1,241
2410007,CO1023,8.9,1,241
2410008,LA1003,9.1,1,241
2410008,MT1003,9.3,1,241
2410008,PH1003,7.1,1,241
2410008,CO1005,8.9,1,241
2410008,CO1023,8.2,1,241
2410009,LA1003,9.1,1,241
2410009,MT1003,9.0,1,241
2410009,PH1003,7.2,1,241
2410009,CO1005,9.0,1,241
2410009,CO1023,8.8,1,241
2410010,LA1003,9.2,1,241
2410010,MT1003,7.8,1,241
2410010,PH1003,7.9,1,241
2410010,CO1005,9.0,1,241
2410010,CO1023,8.0,1,241
2410011,LA1003,9.1,1,241
2410011,MT1003,7.7,1,241
2410011,PH1003,8.6,1,241
2410011,CO1005,8.4,1,241
2410011,CO1023,8.0,1,241
2410012,LA1003,10.0,1,241
2410012,MT1003,7.1,1,241
2410012,PH1003,8.6,1,241
2410012,CO1005,8.2,1,241
2410012,CO1023,7.4,1,241
2410013,LA1003,9.3,1,241
2410013,MT1003,7.8,1,241
2410013,PH1003,9.0,1,241
2410013,CO1005,9.1,1,241
2410013,CO1023,7.2,1,241
2410014,LA1003,9.5,1,241
2410014,MT1003,7.0,1,241
2410014,PH1003,7.9,1,241
2410014,CO1005,9.6,1,241
2410014,CO1023,8.8,1,241
2410015,LA1003,9.1,1,241
2410015,MT1003,7.8,1,241
2410015,PH1003,8.4,1,241
2410015,CO1005,9.6,1,241
2410015,CO1023,8.0,1,241
2410016,LA1003,9.4,1,241
