course_id,lo_code,content_vn,content_en
MT1003,L.O.1,Trình bày được những khái niệm cơ bản về giải tích hàm một biến và phương trình vi phân.,Be able to demonstrate basic concepts of one variable calculus and differential equations.
MT1003,L.O.2,"Có khả năng phân tích, lựa chọn và áp dụng kiến thức giải tích hàm một biến và phương trình vi phân cũng như kỹ năng lập trình để giải quyết các bài toán thực tế.","Be able to analyze, select, and apply knowledge of one variable calculus and differential equations as well as programming skills to solve practical problems."
MT1003,L.O.3,"Có khả năng làm việc nhóm, kỹ năng quản lý và kỹ năng trình bày.","Be able to perform teamwork skills, management skills, and presentation skills."
MT1003,L.O.4,Có khả năng tự cập nhật kiến thức giải tích hàm một biến và phương trình vi phân.,Be able to self study and enhance new knowledge of one variable caluclus and differential equations
MT1005,L.O.1,"Trình bày được những khái niệm cơ bản về giải tích hàm nhiều biến, có khả năng nhận diện và giải quyết vấn đề với các công cụ giải tích hàm nhiều biến.",Be able to demonstrate basic concepts of multivariable calculus; be able to address and solve problems by using multivariable calculus techniques.
MT1005,L.O.2,"Có khả năng phân tích, lựa chọn và áp dụng kiến thức giải tích hàm nhiều biến cũng như kỹ năng lập trình để giải quyết các bài toán thực tế.","Be able to analyze, select, and apply knowledge of multivariable calculus as well as programming skills to solve practical problems."
MT1005,L.O.3,"Có khả năng hoạt động Có khả năng làm việc nhóm, kỹ năng quản lý và kỹ năng trình bày.","Be able to perform teamwork skills, management skills, and presentation skills."
MT1005,L.O.4,Có khả năng tự cập nhật kiến thức giải tích hàm nhiều biến.,Be able to self study and enhance new knowledge of multivariable calculus.
MT1007,L.O.1,Trình bày được những khái niệm cơ bản của đại số tuyến tính.,Demonstrate the fundamentals of linear algebra.
MT1007,L.O.2,"Có khả năng phân tích, lựa chọn và áp dụng kiến thức đại số tuyến tính cũng như kỹ năng lập trình để giải quyết các bài toán thực tế.","Be able to analyze, select, and apply knowledge of linear algebra as well as programming skills to solve practical problems."
MT1007,L.O.3,"Có khả năng làm việc nhóm, kỹ năng quản lý và kỹ năng trình bày.","Be able to perform teamwork skills, management skills, and presentation skills."
MT1007,L.O.4,Có khả năng tự cập nhật kiến thức đại số tuyến tính.,Be able to self study and enhance new knowledge of linear algebra.
MT2013,L.O.1,Trình bày được những khái niệm cơ bản về xác suất thống kê.,Be able to demonstrate basic concepts of probability and statistics.
MT2013,L.O.2,"Có khả năng phân tích, lựa chọn và áp dụng kiến thức xác suất thống kê cũng như kỹ năng lập trình để giải quyết các bài toán thực tế.","Be able to analyze, select, and apply knowledge of probability and statistics as well as programming skills to solve practical problems."
MT2013,L.O.3,"Có khả năng làm việc nhóm, kỹ năng quản lý và kỹ năng trình bày.","Be able to perform teamwork skills, management skills, and presentation skills."
MT2013,L.O.4,Có khả năng tự cập nhật kiến thức xác suất thống kê.,Be able to self study and enhance new knowledge of probability and statistics.
CH1003,L.O.1,Trình bày được cấu tạo cơ bản của các chất hóa học,Present basic structure of chemicals
CH1003,L.O.2,Tính toán được các đại lượng nhiệt động và các cân bằng hóa học,Calculate thermodynamic quantities and chemical balances
CH1003,L.O.3,Tính toán được các đặc trưng trong hệ dung dịch,Calculate properties of chemical solutions
CH1003,L.O.4,Tính toán được các đặc trưng của hệ điện hóa học và phản ứng oxy hóa khử,Calculate properties of electrochemical system and redox reactions
PH1003,L.O.1,Trình bày những kiến thức cơ bản về Vật lí A1 ở trình độ đại học,Present the basic knowledge of Physics A1 at university level
PH1003,L.O.2,"Vận dụng suy luận khoa học, tư duy logic, làm cơ sở để học và nghiên cứu các chuyên ngành kĩ thuật","Apply scientific reasoning, logical thinking, as a basis for learning and researching technical specialties"
PH1003,L.O.3,"Tự học, tìm hiểu, soạn thảo và trình bày (viết và nói) các chủ đề Vật lí liên quan","Self-study, explore, compose and present (written and spoken) related Physics topics"
PH1003,L.O.4,Sử dụng chương trình máy tính để tính toán bài tập thược Cơ – Nhiệt – Điện từ,Using a computer program to calculate the exercise of Mechanics - Heat - Electromagnetism
PH1007,L.O.1,"Trình bày các nguyên tắc thực nghiệm cơ bản của cơ học, nhiệt động học, điện trường và từ trường ở trình độ đại học.","Present the fundamental experimental principles of mechanics, thermodynamics, electric fields, and magnetic fields at the university level."
PH1007,L.O.2,"Thiết kế, thực hiện, thu thập, xử lý và đánh giá các thí nghiệm vật lý cơ bản.","Design, conduct, collect, process, and evaluate basic physics experiments."
PH1007,L.O.3,"Có khả năng tự học, tìm hiểu, soạn thảo và trình bày (viết và nói) các chủ đề Vật lý liên quan.","Have the ability to self-study, research, draft, and present (both in writing and speaking) related physics topics."
CO1007,L.O.1.1,Nêu định nghĩa về logic mệnh đề và vị từ (cơ bản),Describe definition of propositional and predicate logic
CO1007,L.O.1.2,"Nêu khái niệm cơ bản trong các cấu trúc rời rạc (tập hợp, ánh xạ, đồ thị ...)","Define basic discrete structures: set, mapping, graphs, .."
CO1007,L.O.2.1,Biểu diễn logic một vài bài toán cơ bản trong ngành máy tính,Logically describe some problems arising in Computing
