student,course,score,count_learn,semester
2110001,LA1003,9.0,1,251
2110001,MT1003,5.8,1,251
2110001,PH1003,8.0,1,251
2110001,CO1005,5.5,1,251
2110001,CO1023,8.1,1,251
2110001,LA1005,6.5,1,251
2110001,MT1005,6.3,1,251
2110001,MT1007,7.4,1,251
2110001,CO1007,6.5,1,251
2110001,CO1027,7.1,1,251
2110001,PH1007,6.7,1,251
2110001,LA1007,6.6,1,251
2110001,SP1031,9.0,1,251
2110001,CO2007,8.6,1,251
2110001,CO2011,8.2,1,251
2110001,CO2003,8.5,1,251
2110001,LA1009,6.3,1,251
2110001,SP1033,5.3,1,251
2110001,CO2017,8.4,1,251
2110001,CO2039,6.5,1,251
2110001,MT2013,6.9,1,251
2110001,TCTD1,5.9,1,251
2110001,SP1035,6.6,1,251
2110001,CO3093,7.6,1,251
2110001,CO2013,5.5,1,251
2110001,CO3001,8.6,1,251
2110001,CH1003,7.9,1,251
2110001,DATH,5.3,1,251
2110001,SP1039,6.6,1,251
2110001,CO2001,6.3,1,251
2110001,CO3005,8.6,1,251
2110001,CO3335,8.0,1,251
2110001,TCTD2,6.1,1,251
2110001,DADN,7.9,1,251
2110001,SP1037,6.3,1,251
2110001,CO4029,6.0,1,251
2110001,TCTD3,6.0,1,251
2110001,CO3059,6.2,1,251
2110001,CO3089,8.9,1,251
2110001,CO3043,8.8,1,251
2110001,CO3051,7.6,1,251
2110001,CO3061,6.9,1,251
2110001,IM1027,5.9,1,251
2110002,LA1003,7.0,1,251
2110002,MT1003,7.9,1,251
2110002,PH1003,6.5,1,251
2110002,CO1005,8.9,1,251
2110002,CO1023,8.1,1,251
2110002,LA1005,8.1,1,251
2110002,MT1005,7.4,1,251
2110002,MT1007,7.2,1,251
2110002,CO1007,7.7,1,251
2110002,CO1027,7.9,1,251
2110002,PH1007,5.3,1,251
2110002,LA1007,5.8,1,251
2110002,SP1031,8.8,1,251
2110002,CO2007,8.3,1,251
2110002,CO2011,8.3,1,251
2110002,CO2003,7.4,1,251
2110002,LA1009,5.4,1,251
2110002,SP1033,7.0,1,251
2110002,CO2017,5.3,1,251
2110002,CO2039,6.4,1,251
2110002,MT2013,6.7,1,251
2110002,TCTD1,6.3,1,251
2110002,SP1035,5.7,1,251
2110002,CO3093,7.0,1,251
2110002,CO2013,8.2,1,251
2110002,CO3001,5.1,1,251
2110002,CH1003,6.6,1,251
2110002,DATH,8.3,1,251
2110002,SP1039,8.6,1,251
2110002,CO2001,9.0,1,251
2110002,CO3005,9.0,1,251
2110002,CO3335,7.2,1,251
2110002,TCTD2,5.3,1,251
2110002,DADN,6.4,1,251
2110002,SP1037,8.4,1,251
2110002,CO4029,7.4,1,251
2110002,TCTD3,6.6,1,251
2110002,CO3045,5.3,1,251
2110002,CO3089,6.2,1,251
2110002,CO3049,5.4,1,251
2110002,CO4035,6.7,1,251
2110002,CO3021,8.3,1,251
2110002,IM1025,8.8,1,251
2110003,LA1003,8.7,1,251
2110003,MT1003,6.3,1,251
2110003,PH1003,7.6,1,251
2110003,CO1005,8.1,1,251
2110003,CO1023,7.0,1,251
2110003,LA1005,5.6,1,251
2110003,MT1005,5.9,1,251
2110003,MT1007,6.3,1,251
2110003,CO1007,5.6,1,251
2110003,CO1027,8.0,1,251
2110003,PH1007,6.8,1,251
2110003,LA1007,7.7,1,251
2110003,SP1031,5.4,1,251
2110003,CO2007,8.9,1,251
2110003,CO2011,6.4,1,251
2110003,CO2003,8.3,1,251
2110003,LA1009,8.2,1,251
2110003,SP1033,8.3,1,251
2110003,CO2017,7.8,1,251
2110003,CO2039,8.3,1,251
2110003,MT2013,5.0,1,251
2110003,TCTD1,5.1,1,251
2110003,SP1035,6.8,1,251
2110003,CO3093,5.2,1,251
2110003,CO2013,5.2,1,251
2110003,CO3001,7.0,1,251
2110003,CH1003,5.7,1,251
2110003,DATH,8.4,1,251
2110003,SP1039,8.4,1,251
2110003,CO2001,8.9,1,251
2110003,CO3005,6.0,1,251
2110003,CO3335,5.5,1,251
2110003,TCTD2,7.0,1,251
2110003,DADN,6.3,1,251
2110003,SP1037,8.1,1,251
2110003,CO4029,6.8,1,251
2110003,TCTD3,6.8,1,251
2110003,CO4025,5.6,1,251
2110003,CO3033,7.2,1,251
2110003,CO3117,5.6,1,251
2110003,CO3029,8.4,1,251
2110003,CO3035,6.2,1,251
2110003,IM1023,5.6,1,251
2110004,LA1003,5.6,1,251
2110004,MT1003,5.8,1,251
2110004,PH1003,8.1,1,251
2110004,CO1005,6.0,1,251
2110004,CO1023,8.3,1,251
2110004,LA1005,6.6,1,251
2110004,MT1005,7.9,1,251
2110004,MT1007,8.5,1,251
2110004,CO1007,8.7,1,251
2110004,CO1027,8.0,1,251
2110004,PH1007,8.7,1,251
2110004,LA1007,6.0,1,251
2110004,SP1031,6.6,1,251
2110004,CO2007,8.5,1,251
2110004,CO2011,5.8,1,251
2110004,CO2003,6.8,1,251
2110004,LA1009,6.1,1,251
2110004,SP1033,6.8,1,251
2110004,CO2017,5.9,1,251
2110004,CO2039,8.8,1,251
2110004,MT2013,6.6,1,251
2110004,TCTD1,5.2,1,251
2110004,SP1035,7.0,1,251
2110004,CO3093,6.5,1,251
2110004,CO2013,8.0,1,251
2110004,CO3001,6.4,1,251
2110004,CH1003,5.6,1,251
2110004,DATH,8.9,1,251
2110004,SP1039,7.2,1,251
2110004,CO2001,8.2,1,251
2110004,CO3005,6.4,1,251
2110004,CO3335,9.0,1,251
2110004,TCTD2,5.8,1,251
2110004,DADN,8.9,1,251
2110004,SP1037,7.5,1,251
2110004,CO4029,7.3,1,251
2110004,TCTD3,6.9,1,251
2110004,CO3083,7.6,1,251
2110004,CO3013,7.8,1,251
2110004,CO3115,5.3,1,251
2110004,CO3017,8.4,1,251
2110004,CO3089,8.9,1,251
2110004,IM1027,6.2,1,251
2110005,LA1003,7.9,1,251
2110005,MT1003,8.5,1,251
2110005,PH1003,8.1,1,251
2110005,CO1005,6.2,1,251
2110005,CO1023,5.4,1,251
2110005,LA1005,5.5,1,251
2110005,MT1005,7.2,1,251
2110005,MT1007,7.3,1,251
2110005,CO1007,6.4,1,251
2110005,CO1027,5.5,1,251
2110005,PH1007,6.5,1,251
2110005,LA1007,8.3,1,251
2110005,SP1031,5.5,1,251
2110005,CO2007,8.7,1,251
2110005,CO2011,5.6,1,251
2110005,CO2003,7.0,1,251
2110005,LA1009,5.4,1,251
2110005,SP1033,5.9,1,251
2110005,CO2017,6.3,1,251
2110005,CO2039,7.0,1,251
2110005,MT2013,6.2,1,251
2110005,TCTD1,8.3,1,251
2110005,SP1035,5.8,1,251
2110005,CO3093,6.3,1,251
2110005,CO2013,8.2,1,251
2110005,CO3001,7.6,1,251
2110005,CH1003,7.9,1,251
2110005,DATH,5.7,1,251
2110005,SP1039,7.8,1,251
2110005,CO2001,7.8,1,251
2110005,CO3005,8.8,1,251
2110005,CO3335,8.8,1,251
2110005,TCTD2,8.0,1,251
2110005,DADN,7.0,1,251
2110005,SP1037,8.7,1,251
2110005,CO4029,6.9,1,251
2110005,TCTD3,6.8,1,251
2110005,CO3061,8.8,1,251
2110005,CO3015,5.3,1,251
2110005,CO4025,6.3,1,251
2110005,CO4033,8.6,1,251
2110005,CO3089,7.1,1,251
2110005,IM1013,7.6,1,251
2110006,LA1003,8.5,1,251
2110006,MT1003,8.8,1,251
2110006,PH1003,5.7,1,251
2110006,CO1005,8.0,1,251
2110006,CO1023,5.3,1,251
2110006,LA1005,7.3,1,251
2110006,MT1005,5.2,1,251
2110006,MT1007,7.5,1,251
2110006,CO1007,6.6,1,251
2110006,CO1027,5.9,1,251
2110006,PH1007,5.7,1,251
2110006,LA1007,5.9,1,251
2110006,SP1031,6.7,1,251
2110006,CO2007,7.9,1,251
2110006,CO2011,6.1,1,251
2110006,CO2003,8.9,1,251
2110006,LA1009,7.9,1,251
2110006,SP1033,7.5,1,251
2110006,CO2017,9.0,1,251
2110006,CO2039,8.0,1,251
2110006,MT2013,6.4,1,251
2110006,TCTD1,6.0,1,251
2110006,SP1035,7.0,1,251
2110006,CO3093,6.2,1,251
2110006,CO2013,7.7,1,251
2110006,CO3001,8.3,1,251
2110006,CH1003,8.2,1,251
2110006,DATH,6.6,1,251
2110006,SP1039,8.7,1,251
2110006,CO2001,5.3,1,251
2110006,CO3005,7.8,1,251
2110006,CO3335,6.5,1,251
2110006,TCTD2,6.6,1,251
2110006,DADN,6.4,1,251
2110006,SP1037,8.7,1,251
2110006,CO4029,5.8,1,251
2110006,TCTD3,7.0,1,251
2110006,CO3051,6.0,1,251
2110006,CO3051,5.4,1,251
2110006,CO3021,7.9,1,251
2110006,CO3069,8.0,1,251
2110006,CO3011,8.7,1,251
2110006,IM1023,6.6,1,251
2110007,LA1003,5.6,1,251
2110007,MT1003,5.9,1,251
2110007,PH1003,7.6,1,251
2110007,CO1005,7.7,1,251
2110007,CO1023,5.4,1,251
2110007,LA1005,8.8,1,251
2110007,MT1005,5.8,1,251
2110007,MT1007,6.1,1,251
2110007,CO1007,8.7,1,251
2110007,CO1027,6.0,1,251
2110007,PH1007,6.4,1,251
2110007,LA1007,7.7,1,251
2110007,SP1031,7.1,1,251
